publisher,year,market_share_pct
10TACLE Studios,2002,0.0850018889308651
10TACLE Studios,2006,0.0035949239673580937
10TACLE Studios,2007,0.013830620994882664
11 bit studios,2016,0.0057009292514679875
1C Company,2009,0.002771733858114946
1C Company,2011,0.01565108514190318
20th Century Fox Video Games,1981,3.13152400835073
20th Century Fox Video Games,1982,3.429379529786105
20th Century Fox Video Games,1983,1.5720756727950977
2D Boy,2008,0.00536711034778875
2K Games,2005,0.0882543293651572
2K Games,2006,0.0017974619836790468
2K Games,2010,0.009178241448938388
2K Games,2011,0.0017390094602114643
2K Games,2012,0.014086160347458632
2K Games,2013,0.7579510551867628
2K Games,2015,0.1076575794408752
2K Games,2016,4.686163844706687
2K Games,2018,0.7434441741011083
2K Play,2008,0.061721768999570624
2K Sports,2005,0.0490301829806429
2K Sports,2006,0.02336700578782761
2K Sports,2008,0.004025332760841562
2K Sports,2009,0.001385866929057473
2K Sports,2011,0.06782136894824711
2K Sports,2012,0.0023476933912431053
2K Sports,2016,0.017102787754403964
2K Sports,2017,4.277824093372237
2K Sports,2018,4.1430116247634485
3 O'Clock,2007,0.004610206998294222
3DO,1998,0.13716950721854526
3DO,1999,1.3270081415475354
3DO,2000,1.6264581678304133
3DO,2001,0.43721973094170413
3DO,2002,0.1416698148847752
3DO,2003,0.11130073458484833
49Games,2009,0.005543467716229892
505 Games,2002,0.06847374386097467
505 Games,2003,0.024733496574410742
505 Games,2004,0.20064024527706387
505 Games,2005,0.249073329541666
505 Games,2006,1.3498939497429636
505 Games,2007,1.6043520354063896
505 Games,2008,0.387773722627737
505 Games,2009,1.1128511440331508
505 Games,2010,2.242550327357278
505 Games,2011,0.5756121313299946
505 Games,2012,0.5493602535508865
505 Games,2013,0.5721787377390267
505 Games,2014,0.9541728262330338
505 Games,2015,0.25351623545754487
505 Games,2016,0.30785017957927135
505 Games,2017,0.4428928720300125
505 Games,2018,0.689375506893755
5pb,2008,0.018784886217260623
5pb,2009,0.03326080629737937
5pb,2010,0.04589120724469193
5pb,2011,0.06086533110740125
5pb,2012,0.0868646554759949
5pb,2013,0.04706232042009313
5pb,2014,0.051068404784303224
5pb,2015,0.14933148115992367
5pb,2016,0.07981300952055184
5pb,2017,0.10421008753647354
5pb,2018,0.006758583400919165
704Games,2017,0.1302626094205919
704Games,2018,0.1554474182211408
7G//AMES,2010,0.0015297069081563978
7G//AMES,2011,0.012173066221480252
8-4,2018,0.01351716680183833
989 Sports,1999,0.12180267965895251
989 Studios,1997,0.23498576528537207
989 Studios,1998,2.7331024313295145
989 Studios,1999,2.160394897108789
A1 Games,2001,0.005605381165919281
AIA,2003,0.012366748287205371
AIA,2004,0.01127192389196988
AQ Interactive,2007,0.02458777065756918
AQ Interactive,2008,0.029519106912838124
AQ Interactive,2009,0.020788003935862095
ASC Games,1996,0.5966750170803916
ASC Games,1998,0.22632968691059968
ASC Games,1999,0.01602666837617796
ASCII Entertainment,1994,0.8926739175046171
