publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,year_total_sales,market_share_pct,publisher_rank_in_year
Aksys Games,2015,0.6000000000000001,9,0.06666666666666667,3,5,287.9499999999999,0.20836950859524234,35
Aksys Games,2016,0.6600000000000001,8,0.0825,4,4,175.41000000000005,0.37626133059688727,28
Aksys Games,2017,0.7200000000000002,10,0.07200000000000001,2,5,191.92000000000004,0.3751563151313047,32
Aksys Games,2018,0.42000000000000004,10,0.041999999999999996,4,6,147.96000000000004,0.28386050283860503,39
Alawar Entertainment,2009,0.04,1,0.04,1,1,721.5699999999994,0.005543467716229892,145
Alawar Entertainment,2011,0.02,2,0.01,1,1,575.0399999999997,0.0034780189204229287,135
Alawar Entertainment,2015,0.01,1,0.01,1,1,287.9499999999999,0.0034728251432540385,98
Alchemist,2006,1.24,2,0.62,1,1,556.3399999999995,0.22288528597620183,29
Alchemist,2007,0.19,3,0.06333333333333334,1,1,650.7300000000002,0.029197977655863405,76
Alchemist,2008,0.30000000000000004,7,0.04285714285714286,3,1,745.2800000000001,0.04025332760841563,84
Alchemist,2009,0.09,5,0.018,3,2,721.5699999999994,0.012472802361517259,125
Alchemist,2010,0.26999999999999996,11,0.024545454545454547,5,2,653.7199999999998,0.041302086520222735,81
Alchemist,2011,0.28,9,0.03111111111111111,4,5,575.0399999999997,0.04869226488592101,82
Alchemist,2012,0.22000000000000003,6,0.03666666666666667,3,6,425.9499999999997,0.05164925460734832,52
Alchemist,2013,0.19999999999999998,7,0.028571428571428574,2,3,403.7200000000002,0.04953928465272959,48
Alchemist,2015,0.08,2,0.04,1,2,287.9499999999999,0.02778260114603231,70
Alliance Digital Media,2017,0.06,1,0.06,1,1,191.92000000000004,0.03126302626094205,76
Alternative Software,2010,0.07,1,0.07,1,1,653.7199999999998,0.010707948357094784,119
Alternative Software,2015,0.02,1,0.02,1,1,287.9499999999999,0.006945650286508077,91
Alternative Software,2016,0.14,5,0.028,5,2,175.41000000000005,0.07981300952055184,48
Altron,2001,0.07,1,0.07,1,1,356.80000000000007,0.019618834080717486,79
Alvion,2009,0.02,1,0.02,1,1,721.5699999999994,0.002771733858114946,163
Alvion,2010,0.02,1,0.02,1,1,653.7199999999998,0.0030594138163127955,144
American Softworks,1996,0.23,1,0.23,1,1,219.55000000000004,0.10475973582327486,57
Angel Studios,1991,0.29,1,0.29,1,1,33.74,0.859513930053349,16
Angel Studios,1994,0.12,1,0.12,1,1,97.46000000000002,0.12312743689718857,39
Angel Studios,1995,0.03,1,0.03,1,1,109.02000000000002,0.027517886626307095,70
Answer Software,1982,0.5,1,0.5,1,1,56.570000000000014,0.8838607035531199,17
Answer Software,1983,0.5,1,0.5,1,1,37.529999999999994,1.3322675193178792,9
Anuman,2016,0.05,1,0.05,1,1,175.41000000000005,0.02850464625733994,72
Aqua Plus,1999,0.14,1,0.14,1,1,311.97999999999996,0.0448746714532983,70
Aqua Plus,2006,0.11,1,0.11,1,1,556.3399999999995,0.019772081820469516,73
Aqua Plus,2007,0.01,1,0.01,1,1,650.7300000000002,0.0015367356660980738,152
Aqua Plus,2008,0.08,1,0.08,1,1,745.2800000000001,0.0107342206955775,123
Aqua Plus,2009,0.12,4,0.03,2,4,721.5699999999994,0.016630403148689677,113
Aqua Plus,2010,0.060000000000000005,2,0.03,2,1,653.7199999999998,0.009178241448938388,121
Aqua Plus,2011,0.17,3,0.05666666666666667,2,2,575.0399999999997,0.029563160823594895,91
Aqua Plus,2012,0.15000000000000002,3,0.05,1,3,425.9499999999997,0.035215400868646586,59
Aqua Plus,2013,0.18,3,0.060000000000000005,2,2,403.7200000000002,0.04458535618745663,50
Aqua Plus,2015,0.29,5,0.058,3,1,287.9499999999999,0.10071192915436711,49
Aqua Plus,2016,0.13999999999999999,4,0.035,3,2,175.41000000000005,0.07981300952055181,53
Aqua Plus,2018,0.05,2,0.025,2,1,147.96000000000004,0.03379291700459583,78
Aquaplus,2008,0.08,1,0.08,1,1,745.2800000000001,0.0107342206955775,123
Aquaplus,2009,0.08,2,0.04,2,2,721.5699999999994,0.011086935432459784,132
Aquaplus,2011,0.01,1,0.01,1,1,575.0399999999997,0.0017390094602114643,142
Aquaplus,2017,0.06,1,0.06,1,1,191.92000000000004,0.03126302626094205,76
Aquaplus,2018,0.03,1,0.03,1,1,147.96000000000004,0.020275750202757497,94
Aques,1997,0.16,1,0.16,1,1,221.29000000000005,0.0723033123954991,64
Arc System Works,2007,0.01,1,0.01,1,1,650.7300000000002,0.0015367356660980738,152
Arc System Works,2008,0.26,4,0.065,1,2,745.2800000000001,0.03488621726062687,87
Arc System Works,2009,0.07,3,0.023333333333333334,2,2,721.5699999999994,0.009701068503402313,135
Arc System Works,2010,0.1,3,0.03333333333333333,1,2,653.7199999999998,0.015297069081563978,112
Arc System Works,2012,0.07,5,0.014,2,4,425.9499999999997,0.01643385373870174,77
Arc System Works,2013,0.4600000000000001,8,0.057499999999999996,3,3,403.7200000000002,0.11394035470127807,36
Arc System Works,2014,0.8300000000000001,5,0.166,3,1,372.04999999999984,0.22308829458406138,30
Arc System Works,2015,0.09000000000000001,4,0.0225,3,2,287.9499999999999,0.031255426289286355,67
Arc System Works,2016,0.08,4,0.02,3,3,175.41000000000005,0.0456074340117439,64
Arc System Works,2017,0.05,2,0.025,2,2,191.92000000000004,0.026052521884118378,80
Arc System Works,2018,0.20000000000000007,7,0.028571428571428574,2,3,147.96000000000004,0.13517166801838337,52
Arc System Works,2019,0.01,1,0.01,1,1,2.5500000000000003,0.392156862745098,15
Arena Entertainment,1992,4.72,2,2.36,1,2,82.41,5.7274602596772235,4
Arena Entertainment,1993,4.72,2,2.36,1,2,57.01999999999999,8.277797264117854,4
ArenaNet,2017,0.01,1,0.01,1,1,191.92000000000004,0.005210504376823675,104
Aria,2006,0.07,1,0.07,1,1,556.3399999999995,0.01258223388575333,81
Arika,2002,0.02,1,0.02,1,1,423.5200000000001,0.00472232716282584,104
Arika,2004,0.05,1,0.05,1,1,443.5800000000001,0.01127192389196988,84
Arika,2008,0.02,1,0.02,1,1,745.2800000000001,0.002683555173894375,169
ArtDink,1994,0.25,1,0.25,1,1,97.46000000000002,0.2565154935358095,33
ArtDink,1996,0.22,2,0.11000000000000001,1,1,219.55000000000004,0.10020496470052379,59
ArtDink,1998,0.09,1,0.09,1,1,291.6100000000001,0.030863139124172684,76
ArtDink,2001,0.05,2,0.025,1,2,356.80000000000007,0.014013452914798203,85
ArtDink,2009,0.04,1,0.04,1,1,721.5699999999994,0.005543467716229892,145
ArtDink,2010,0.02,1,0.02,1,1,653.7199999999998,0.0030594138163127955,144
ArtDink,2013,0.02,1,0.02,1,1,403.7200000000002,0.004953928465272959,78
ArtDink,2014,0.06,1,0.06,1,1,372.04999999999984,0.016126864668727328,63
ArtDink,2016,0.03,2,0.015,2,1,175.41000000000005,0.017102787754403964,86
ArtDink,2017,0.02,1,0.02,1,1,191.92000000000004,0.01042100875364735,94
Aruze Corp,1999,0.54,1,0.54,1,1,311.97999999999996,0.17308801846272198,49
Aruze Corp,2000,0.64,2,0.32,1,1,239.17,0.2675920893088598,39
Ascaron Entertainment,2012,0.01,1,0.01,1,1,425.9499999999997,0.0023476933912431053,111
Ascaron Entertainment GmbH,2004,0.04,1,0.04,1,1,443.5800000000001,0.009017539113575904,89
Ascaron Entertainment GmbH,2008,0.06999999999999999,2,0.035,1,2,745.2800000000001,0.009392443108630312,131
Asgard,2010,0.28,6,0.04666666666666667,1,2,653.7199999999998,0.04283179342837914,79
Asgard,2011,0.06,2,0.03,1,2,575.0399999999997,0.010434056761268786,116
Asgard,2012,0.01,1,0.01,1,1,425.9499999999997,0.0023476933912431053,111
Asgard,2013,0.07,3,0.023333333333333334,1,2,403.7200000000002,0.017338749628455358,63
Asgard,2014,0.01,1,0.01,1,1,372.04999999999984,0.002687810778121221,81
Asgard,2015,0.02,1,0.02,1,1,287.9499999999999,0.006945650286508077,91
Asmik Ace Entertainment,1996,0.1,1,0.1,1,1,219.55000000000004,0.045547711227510806,76
Asmik Ace Entertainment,2000,0.09,1,0.09,1,1,239.17,0.03763013755905841,65
Asmik Ace Entertainment,2006,0.04,1,0.04,1,1,556.3399999999995,0.007189847934716187,94
Asmik Corp,1994,0.07,1,0.07,1,1,97.46000000000002,0.07182433819002668,45
Asmik Corp,1995,0.1,1,0.1,1,1,109.02000000000002,0.09172628875435698,55
Aspyr,2003,0.02,1,0.02,1,1,404.3099999999997,0.004946699314882149,94
Aspyr,2007,0.01,1,0.01,1,1,650.7300000000002,0.0015367356660980738,152
Aspyr,2008,0.11,2,0.055,1,2,745.2800000000001,0.014759553456419062,116
Aspyr,2009,0.5599999999999999,5,0.112,3,4,721.5699999999994,0.07760854802721849,72
Assemble Entertainment,2018,0.01,1,0.01,1,1,147.96000000000004,0.006758583400919165,111
Astragon,2009,0.05,1,0.05,1,1,721.5699999999994,0.006929334645287366,141
Astragon,2010,0.53,3,0.17666666666666667,1,2,653.7199999999998,0.08107446613228908,63
Astragon,2011,0.04,1,0.04,1,1,575.0399999999997,0.006956037840845857,124
