appid,steam_name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,median_forever,price,initialprice,discount,ccu,genres,tags,languages,release_date,windows,mac,linux
4047560,god of medicine,YAO,YAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,122|10695|21725|4085|4057|4325|14139|4182,NA,10/14/2025,TRUE,FALSE,FALSE
4048090,黑雾档案-海格特西街47号,BlackFog Studio,BlackFog Studio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,122|1664|4182|4145|5379|3871|5984|5716|5613|1742|31275|6971,NA,NA,TRUE,FALSE,FALSE
4050510,Bubble Hook Mania,Rokito Games,Rokito Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|4|23,1773|597|492|5547|1774|4004|3916|4182|5350|4195|4252|1662|5537|19|3877|5379|1664|5154|3968|3871,NA,11/06/2025,TRUE,TRUE,FALSE
4052220,Girl in the Attic,Strange Girl Studios,Strange Girl Studios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,12095|24904|4085|4166|6276|4182|5611|4064|3799|21|492|6650|9130|3834|7208,NA,NA,TRUE,FALSE,FALSE
4061040,Life of Crime,98 REDD GAMES,98 REDD GAMES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23|28|2|70,19|599|493|1695|4182|21|10235|3810|3834|4195|9|4252|4106|6378|1774|1663|3839|1644|1680|492,NA,NA,TRUE,FALSE,FALSE
4062790,Precursors: Reach for the Stars,Artificial Worlds,Artificial Worlds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9|1741|5851|8945|4325|4252|11104|3993|1708|1775|6730|4791|14139|4821|3942|3859|4182|4191|17770|6426,NA,NA,FALSE,FALSE,FALSE
4064030,Dinosaur Hunting Simulator,Hard Shark Games,Hard Shark Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23|28|18|70,599|701|30358|1697|3987|3814|9204|4166|10808|4182|492|493|5160|9564|7423|5796|19|1663|1774|3839,NA,NA,TRUE,FALSE,FALSE
4064610,Legacy of the Gladiators,Victory Lap Creative LLC,Victory Lap Creative LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23|3|28|2|70,19|122|12472|4736|3871|5851|3987|3854|3964|9|4166|4182|4777|492|493|6948|1084988|1646|599|4172,NA,NA,TRUE,FALSE,FALSE
4065580,Alfred's Alien Abduction Adventure,S.A.J. Developments,S.A.J. Developments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|4|23,3834|11014|5094|4191|6129|1755|597|3942|4166|1719|5716|1625|1664|19|3839|19995|4136|1667|1721|21,NA,NA,TRUE,FALSE,FALSE
4069290,Membrane,Noe Abc,Noe Abc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|23,3834|1667|4106|11014|4486|5716|4947|10808|3854|5608|6971|7208|21|13782|1721|4182|3964|3871|492|14720,NA,NA,FALSE,FALSE,FALSE
